registro_operadora;operadora;ciclo;percentual;periodo_aplicacao;oficio;observacao;fonte
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2007;6.64;julho/2007 a junho/2008;Ofício n° 227/2007/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2006;11.57;julho/2006 a junho/2007;Ofício n° 158/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2006;11.57;julho/2006 a junho/2007;Ofício n° 157/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2006;11.46;junho/2006 a maio/2007;Ofício n° 152/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2006;11.57;julho/2006 a junho/2007;Ofício n° 159/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2006;11.46;julho/2006 a junho/2007;Ofício n° 151/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000582;Porto Seguro - Seguro Saúde S.A.;2006;14.83;julho/2006 a junho/2007;Ofício n° 197/2006/PRESI/ANS;Percentual final = resíduo (2.92%) + reajuste 2006 (11.57%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2005;25.80;julho/2005 a junho/2006;Ofício n° 212/2005/ GGEFP/DIPRO;Percentual final = resíduo 2004 (8.76%) + reajuste 2005 (15.67%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2005;26.10;julho/2005 a junho/2006;Ofício n° 213/2005/ GGEFP/DIPRO;Percentual final = resíduo 2004 (9.02%) + reajuste 2005 (15.67%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2005;20.07;junho/2005 a maio/2006;Ofício n° 264/2005/ DIPRO/GGEFP/ANS;Percentual final = resíduo 2004 (8.06%) + reajuste 2005 (11.11%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2005;25.80;julho/2005 a junho/2006;Ofício n° 02/2006/ GGEFP/DIPRO;Percentual final = resíduo 2004 (8.76%) + reajuste 2005 (15.67%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2005;19.23;julho/2005 a junho/2006;Ofício n° 265/2005/ DIPRO/GGEFP/ANS;Percentual final = resíduo 2004 (7.31%) + reajuste 2005 (11.11%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2021;-7.24;Julho/2021 a junho/2022;Ofício nº 59/2021/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Reajuste negativo (ciclo COVID-19); autorizado em 13/07/2021;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
006246;Sul América Companhia de Seguro Saúde;2021;-7.24;Julho/2021 a junho/2022;Ofício nº 60/2021/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Reajuste negativo (ciclo COVID-19); autorizado em 13/07/2021;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
000884;Itaúseg Saúde S.A.;2021;-7.24;Julho/2021 a junho/2022;Ofício nº 61/2021/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Reajuste negativo (ciclo COVID-19); autorizado em 13/07/2021;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
326305;Amil Assistência Médica Internacional S.A.;2021;-7.83;Junho/2021 a maio/2022;Ofício nº 62/2021/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Reajuste negativo (ciclo COVID-19); autorizado em 13/07/2021;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
005711;Bradesco Saúde S.A.;2022;16.70;Julho/2022 a junho/2023;Ofício nº 56/2022/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 21/09/2022;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
006246;Sul América Companhia de Seguro Saúde;2022;16.70;Julho/2022 a junho/2023;Ofício nº 57/2022/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 21/09/2022;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
000884;Itaúseg Saúde S.A.;2022;16.70;Julho/2022 a junho/2023;Ofício nº 58/2022/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 21/09/2022;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
326305;Amil Assistência Médica Internacional S.A.;2022;15.95;Junho/2022 a maio/2023;Ofício nº 59/2022/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 21/09/2022;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
005711;Bradesco Saúde S.A.;2023;10.77;Julho/2023 a junho/2024;Ofício nº 68/2023/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;Autorizado em 16/08/2023;ANS — Reajustes de preços de planos de saúde antigos (atualizado 08/08/2025)
